scenario_id,scenario_name,group,repeat,msg_type,priority,interval_ms,ttl_sec,collapse_key,payload_bytes,msg_count,delivery_rate_pct,avg_latency_ms,p95_latency_ms,p99_latency_ms,retry_rate_pct,dlq_rate_pct,duplicate_rate_pct,throughput_msg_per_sec,experiment_id
STP-A1,"Data-only (Silent Push)",A,1,data,high,200,,,,50,100.00,113.9,303.0,428.0,0.00,0.00,0.00,1.60,STP-A1-R1-c82b519b
STP-A1,"Data-only (Silent Push)",A,2,data,high,200,,,,50,100.00,95.1,231.0,266.0,0.00,0.00,0.00,1.69,STP-A1-R2-946d0a7f
STP-A1,"Data-only (Silent Push)",A,3,data,high,200,,,,50,100.00,88.3,168.0,223.0,0.00,0.00,0.00,1.75,STP-A1-R3-f6e0f9bc
STP-A2,"Notification-only",A,1,notification,high,200,,,,50,100.00,91.1,163.0,330.0,0.00,0.00,0.00,1.75,STP-A2-R1-ffdbe226
STP-A2,"Notification-only",A,2,notification,high,200,,,,50,100.00,94.9,206.0,240.0,0.00,0.00,0.00,1.69,STP-A2-R2-d6a88be7
STP-A2,"Notification-only",A,3,notification,high,200,,,,50,100.00,95.6,190.0,245.0,0.00,0.00,0.00,1.82,STP-A2-R3-3c06be9c
STP-A3,"Combined (Data+Notification)",A,1,combined,high,200,,,,50,100.00,75.6,182.0,225.0,0.00,0.00,0.00,1.70,STP-A3-R1-c88b30cc
STP-A3,"Combined (Data+Notification)",A,2,combined,high,200,,,,50,100.00,70.2,160.0,321.0,0.00,0.00,0.00,1.74,STP-A3-R2-27a26350
STP-A3,"Combined (Data+Notification)",A,3,combined,high,200,,,,50,100.00,61.7,145.0,153.0,0.00,0.00,0.00,1.75,STP-A3-R3-a6a80e51
STP-B1,"High Priority",B,1,combined,high,200,,,,50,100.00,63.2,179.0,272.0,0.00,0.00,0.00,1.77,STP-B1-R1-51059a81
STP-B1,"High Priority",B,2,combined,high,200,,,,50,100.00,65.8,152.0,276.0,0.00,0.00,0.00,1.71,STP-B1-R2-b8db1425
STP-B1,"High Priority",B,3,combined,high,200,,,,50,100.00,79.6,214.0,297.0,0.00,0.00,0.00,1.70,STP-B1-R3-cddbb2cf
STP-B2,"Normal Priority",B,1,combined,normal,200,,,,50,100.00,62.1,140.0,170.0,0.00,0.00,0.00,1.74,STP-B2-R1-e79ae02a
STP-B2,"Normal Priority",B,2,combined,normal,200,,,,50,100.00,67.5,139.0,440.0,0.00,0.00,0.00,1.71,STP-B2-R2-078c3bd2
STP-B2,"Normal Priority",B,3,combined,normal,200,,,,50,100.00,67.0,195.0,211.0,0.00,0.00,0.00,1.77,STP-B2-R3-f8ec2f06
